sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-BAG-KR,Vegware,Window Bag,Bags,,,Kraft,51.14,1000,,"The Vegware kraft Window Bag is constructed from kraft board, an unbleached paper with natural strength. Features a clear window that lets customers see the product inside, boosting impulse purchases. The window film is food-safe and the bag keeps contents fresh. Popular with bakeries, sandwich shops, and delis. Certified compostable - breaks down in industrial composting facilities.",Vegware kraft Window Bag. Compostable.,"Vegware kraft Window Bag - clear window panel for product visibility. Ideal for bakeries and delis. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Window Bag Compostable | Afida,Shop Vegware kraft Window Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-KR-2,Vegware,Window Bag,Bags,,,Kraft,39.56,1000,,"The Vegware kraft Window Bag is constructed from kraft board, an unbleached paper with natural strength. Features a clear window that lets customers see the product inside, boosting impulse purchases. The window film is food-safe and the bag keeps contents fresh. Popular with bakeries, sandwich shops, and delis. Certified compostable - breaks down in industrial composting facilities.",Vegware kraft Window Bag. Compostable.,"Vegware kraft Window Bag - clear window panel for product visibility. Ideal for bakeries and delis. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Window Bag Compostable | Afida,Shop Vegware kraft Window Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-7,Vegware,Ovenable Wrap,Bags,,,,87.93,500,,"The Vegware Ovenable Wrap. An oven-safe wrap that can go directly from fridge to oven. Grease-resistant and heat-stable, it eliminates the need for unwrapping before reheating. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Ovenable Wrap. Compostable.,"Vegware Ovenable Wrap - oven-safe wrapping for reheating and cooking. Grease-resistant. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Ovenable Wrap Compostable | Afida,Shop Vegware Ovenable Wrap - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-KR-5,Vegware,Flat Bag,Bags,,,Kraft,13.25,1000,,"The Vegware kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware kraft Flat Bag. Compostable.,"Vegware kraft Flat Bag - simple, open-top design for wrapping and serving food items. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Compostable | Afida,Shop Vegware kraft Flat Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-KR-4,Vegware,Flat Bag,Bags,,,Kraft,9.79,500,,"The Vegware kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware kraft Flat Bag.,"Vegware kraft Flat Bag - simple, open-top design for wrapping and serving food items. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Kraft | Afida,Shop Vegware kraft Flat Bag. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BAG-KR-7,Vegware,Flat Bag,Bags,,,Kraft,8.25,1000,,"The Vegware kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware kraft Flat Bag.,"Vegware kraft Flat Bag - simple, open-top design for wrapping and serving food items. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Kraft | Afida,Shop Vegware kraft Flat Bag. Cases of 1000. Free UK delivery over £100. Order at Afida.,
VEG-BAG-KR-6,Vegware,Flat Bag,Bags,,,Kraft,10.95,1000,,"The Vegware kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware kraft Flat Bag.,"Vegware kraft Flat Bag - simple, open-top design for wrapping and serving food items. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Kraft | Afida,Shop Vegware kraft Flat Bag. Cases of 1000. Free UK delivery over £100. Order at Afida.,
VEG-BAG-WH-2,Vegware,Flat Bag,Bags,10 x 10,White,Kraft,14.06,1000,,"The Vegware 10 x 10 white kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware 10 x 10 white kraft Flat Bag. Compostable.,"Vegware 10 x 10 white kraft Flat Bag - simple, open-top design for wrapping and serving food items. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag 10 x 10 Compostable | Afida,Shop Vegware 10 x 10 kraft Flat Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-WH,Vegware,Flat Bag,Bags,,White,Kraft,10.60,500,,"The Vegware white kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware white kraft Flat Bag. Compostable.,"Vegware white kraft Flat Bag - simple, open-top design for wrapping and serving food items. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Compostable | Afida,Shop Vegware kraft Flat Bag - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-WH-4,Vegware,Flat Bag,Bags,,White,Kraft,8.36,1000,,"The Vegware white kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware white kraft Flat Bag. Compostable.,"Vegware white kraft Flat Bag - simple, open-top design for wrapping and serving food items. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag Compostable | Afida,Shop Vegware kraft Flat Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BAG-WH-3,Vegware,Flat Bag,Bags,8 x 8,White,Kraft,10.36,1000,,"The Vegware 8 x 8 white kraft Flat Bag is constructed from kraft board, an unbleached paper with natural strength. A simple open-top bag for wrapping sandwiches, pastries, cookies, and other grab-and-go items. Provides a clean, hygienic barrier between food and hands. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware 8 x 8 white kraft Flat Bag. Compostable.,"Vegware 8 x 8 white kraft Flat Bag - simple, open-top design for wrapping and serving food items. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Vegware Flat Bag 8 x 8 Compostable | Afida,Shop Vegware 8 x 8 kraft Flat Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-CR-WH-2,,Carrier Bags,Bags,11 x 17 x 21,White,,16.22,1000,,"The 11 x 17 x 21 white Carrier Bags. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",11 x 17 x 21 white Carrier Bags.,"11 x 17 x 21 white Carrier Bags - strong handles for comfortable carrying. Ideal for takeaway orders. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Carrier Bags 11 x 17 x 21 | Afida,Shop 11 x 17 x 21 Carrier Bags. Cases of 1000. Free UK delivery over £100. Order at Afida.,
BAG-CR-WH,,Carrier Bags 23 25 Micron Strong,Bags,,White,Plastic,21.54,1000,,"The white plastic Carrier Bags 23 25 Micron Strong is made from durable plastic for reliable everyday use. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",white plastic Carrier Bags 23 25 Micron Strong.,"white plastic Carrier Bags 23 25 Micron Strong - strong handles for comfortable carrying. Ideal for takeaway orders. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Carrier Bags 23 25 Micron Strong Plastic | Afida,Shop plastic Carrier Bags 23 25 Micron Strong. Cases of 1000. Free UK delivery over £100. Order at Afida.,
BAG-CR,,Large Carrier Width,Bags,13 Inch,,Paper,27.20,200,,The 13 Inch paper Large Carrier Width is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,13 Inch paper Large Carrier Width. Compostable.,"13 Inch paper Large Carrier Width - practical and reliable for everyday food service use. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Large Carrier Width 13 Inch Compostable | Afida,Shop 13 Inch paper Large Carrier Width - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
LID-16-BK,,Sip-Thru Hot Cup Lid,Cups & Lids,16oz,Black,CPLA,46.40,1000,,"The 16oz black CPLA Sip-Thru Hot Cup Lid is made from CPLA (crystallised PLA), a heat-resistant plant-based bioplastic. A lid with a moulded sip-through opening for comfortable drinking on the move. Fits securely onto compatible hot cup rims to reduce spills. The raised lip directs the flow of liquid for a clean drinking experience. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",16oz black CPLA Sip-Thru Hot Cup Lid. Compostable.,"16oz black CPLA Sip-Thru Hot Cup Lid - sip-through opening for comfortable drinking on the go. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Sip-Thru Hot Cup Lid 16oz Compostable | Afida,Shop 16oz CPLA Sip-Thru Hot Cup Lid - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
LID-16-WH,,Sip-Thru Hot Cup Lid,Cups & Lids,12oz / 16oz,White,CPLA,46.40,1000,,"The 12oz / 16oz white CPLA Sip-Thru Hot Cup Lid is made from CPLA (crystallised PLA), a heat-resistant plant-based bioplastic. A lid with a moulded sip-through opening for comfortable drinking on the move. Fits securely onto compatible hot cup rims to reduce spills. The raised lip directs the flow of liquid for a clean drinking experience. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",12oz / 16oz white CPLA Sip-Thru Hot Cup Lid. Compostable.,"12oz / 16oz white CPLA Sip-Thru Hot Cup Lid - sip-through opening for comfortable drinking on the go. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Sip-Thru Hot Cup Lid 12oz / 16oz Compostable | Afida,Shop 12oz / 16oz CPLA Sip-Thru Hot Cup Lid - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
LID-16,,Lid (PE Lined),Cups & Lids,,,Paper,44.70,1000,,"The paper Lid (PE Lined) is made from responsibly sourced paper. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Fully recyclable through standard paper or plastic recycling streams.",paper Lid (PE Lined). Recyclable.,"paper Lid (PE Lined) - secure-fit lid for compatible containers. Keeps contents fresh. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Lid (PE Lined) Recyclable | Afida,Shop paper Lid (PE Lined) - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
CUP-12,,Lined Takeaway Cup,Cups & Lids,8oz,,,49.24,500,,The 8oz Lined Takeaway Cup. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,8oz Lined Takeaway Cup. Compostable.,"8oz Lined Takeaway Cup - practical and reliable for everyday food service use. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Lined Takeaway Cup 8oz Compostable | Afida,Shop 8oz Lined Takeaway Cup - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
CUP-DW-12-KR-2,,"Double Wall Hot Takeaway Cup, 89 Series",Cups & Lids,,Brown,Kraft,51.98,500,Case (500): £51.98 | Pack (25): £7.00,"The brown kraft Double Wall Hot Takeaway Cup, 89 Series is constructed from kraft board, an unbleached paper with natural strength. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Designed for coffee shops, cafés, offices, events, and catering.","brown kraft Double Wall Hot Takeaway Cup, 89 Series.","brown kraft Double Wall Hot Takeaway Cup, 89 Series - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Designed for coffee shops, cafés, offices, events, and catering.","Double Wall Hot Takeaway Cup, 89 Series Kraft | Afida","Shop kraft Double Wall Hot Takeaway Cup, 89 Series. Cases of 500. Free UK delivery over £100. Order at Afida.",
XMS-16,,Christmas Double-Wall Cup,Cups & Lids,16oz,,Paper,40.00,500,,"The 16oz paper Christmas Double-Wall Cup is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Both compostable and recyclable, giving multiple end-of-life options.",16oz paper Christmas Double-Wall Cup. Compostable and recyclable.,"16oz paper Christmas Double-Wall Cup - practical and reliable for everyday food service use. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Christmas Double-Wall Cup 16oz Compostable | Afida,Shop 16oz paper Christmas Double-Wall Cup - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
CUP-DW-16-KR,,"Double Wall Hot Takeaway Cup, 89 Series",Cups & Lids,,Brown,Kraft,55.74,400,Case (400): £55.74 | Pack (20): £7.23,"The brown kraft Double Wall Hot Takeaway Cup, 89 Series is constructed from kraft board, an unbleached paper with natural strength. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Designed for coffee shops, cafés, offices, events, and catering.","brown kraft Double Wall Hot Takeaway Cup, 89 Series.","brown kraft Double Wall Hot Takeaway Cup, 89 Series - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Designed for coffee shops, cafés, offices, events, and catering.","Double Wall Hot Takeaway Cup, 89 Series Kraft | Afida","Shop kraft Double Wall Hot Takeaway Cup, 89 Series. Cases of 400. Free UK delivery over £100. Order at Afida.",
CC-SH-25,,Shot Glasses,Cups & Lids,25ml,,Plastic,23.92,1,,"The 25ml plastic Shot Glasses is made from durable plastic for reliable everyday use. A small-format cup for spirit shots, tastings, samples, and dessert portions. Sturdy enough for stacking and easy to handle in high-volume bar service. Designed for coffee shops, cafés, offices, events, and catering.",25ml plastic Shot Glasses.,"25ml plastic Shot Glasses - small-format cup for shots, tastings, and samples. Designed for coffee shops, cafés, offices, events, and catering.",Shot Glasses 25ml Plastic | Afida,Shop 25ml plastic Shot Glasses. Cases of 1. Free UK delivery over £100. Order at Afida.,
CC-SH-25-2,,Bomb Shot Glass,Cups & Lids,25ml,,rPET,54.40,1000,,"The 25ml rPET Bomb Shot Glass is made from rPET (recycled PET plastic), giving post-consumer plastic a second life. A small-format cup for spirit shots, tastings, samples, and dessert portions. Sturdy enough for stacking and easy to handle in high-volume bar service. Fully recyclable through standard paper or plastic recycling streams. Designed for coffee shops, cafés, offices, events, and catering.",25ml rPET Bomb Shot Glass. Recyclable.,"25ml rPET Bomb Shot Glass - small-format cup for shots, tastings, and samples. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Bomb Shot Glass 25ml Recyclable | Afida,Shop 25ml rPET Bomb Shot Glass - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
LID-8-BK-2,,Sip-Thru Hot Cup Lid,Cups & Lids,8oz,Black,CPLA,38.81,1000,,"The 8oz black CPLA Sip-Thru Hot Cup Lid is made from CPLA (crystallised PLA), a heat-resistant plant-based bioplastic. A lid with a moulded sip-through opening for comfortable drinking on the move. Fits securely onto compatible hot cup rims to reduce spills. The raised lip directs the flow of liquid for a clean drinking experience. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",8oz black CPLA Sip-Thru Hot Cup Lid. Compostable.,"8oz black CPLA Sip-Thru Hot Cup Lid - sip-through opening for comfortable drinking on the go. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Sip-Thru Hot Cup Lid 8oz Compostable | Afida,Shop 8oz CPLA Sip-Thru Hot Cup Lid - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
LID-8,,Lid (PE Lined),Cups & Lids,8oz,,Paper,39.75,1000,,"The 8oz paper Lid (PE Lined) is made from responsibly sourced paper. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Fully recyclable through standard paper or plastic recycling streams.",8oz paper Lid (PE Lined). Recyclable.,"8oz paper Lid (PE Lined) - secure-fit lid for compatible containers. Keeps contents fresh. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Lid (PE Lined) 8oz Recyclable | Afida,Shop 8oz paper Lid (PE Lined) - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
LID-8-WH-2,,Sip-Thru Hot Cup Lid,Cups & Lids,8oz,White,CPLA,38.81,1000,,"The 8oz white CPLA Sip-Thru Hot Cup Lid is made from CPLA (crystallised PLA), a heat-resistant plant-based bioplastic. A lid with a moulded sip-through opening for comfortable drinking on the move. Fits securely onto compatible hot cup rims to reduce spills. The raised lip directs the flow of liquid for a clean drinking experience. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",8oz white CPLA Sip-Thru Hot Cup Lid. Compostable.,"8oz white CPLA Sip-Thru Hot Cup Lid - sip-through opening for comfortable drinking on the go. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Sip-Thru Hot Cup Lid 8oz Compostable | Afida,Shop 8oz CPLA Sip-Thru Hot Cup Lid - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
CC-9-3,,R- Squat Cold Cup,Cups & Lids,9oz / 93mm,,,41.60,1000,,"The 9oz / 93mm R- Squat Cold Cup. Crystal-clear construction showcases the colour and layers of iced drinks, smoothies, juices, and cocktails. Sturdy walls resist cracking and condensation. Compatible with flat and dome lids for versatile serving. Designed for coffee shops, cafés, offices, events, and catering.",9oz / 93mm R- Squat Cold Cup.,"9oz / 93mm R- Squat Cold Cup - crystal-clear design showcases colourful drinks. Sturdy and crack-resistant. Designed for coffee shops, cafés, offices, events, and catering.",R- Squat Cold Cup 9oz / 93mm | Afida,Shop 9oz / 93mm R- Squat Cold Cup. Cases of 1000. Free UK delivery over £100. Order at Afida.,
CC-22,,Coke Zero Cold Cups,Cups & Lids,22oz / 90mm,,,47.62,1000,,"The 22oz / 90mm Coke Zero Cold Cups. Crystal-clear construction showcases the colour and layers of iced drinks, smoothies, juices, and cocktails. Sturdy walls resist cracking and condensation. Compatible with flat and dome lids for versatile serving. Designed for coffee shops, cafés, offices, events, and catering.",22oz / 90mm Coke Zero Cold Cups.,"22oz / 90mm Coke Zero Cold Cups - crystal-clear design showcases colourful drinks. Sturdy and crack-resistant. Designed for coffee shops, cafés, offices, events, and catering.",Coke Zero Cold Cups 22oz / 90mm | Afida,Shop 22oz / 90mm Coke Zero Cold Cups. Cases of 1000. Free UK delivery over £100. Order at Afida.,
CUP-DW-12-3,Edenware,Double Wall Takeaway Cup,Cups & Lids,12oz,,,47.90,500,,"The Edenware 12oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",Edenware 12oz Double Wall Takeaway Cup. Compostable.,"Edenware 12oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Edenware Double Wall Takeaway Cup 12oz Compostable | Afida,Shop Edenware 12oz Double Wall Takeaway Cup - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
CUP-DW-8-3,Edenware,Double Wall Takeaway Cup,Cups & Lids,8oz,,,40.37,500,,"The Edenware 8oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",Edenware 8oz Double Wall Takeaway Cup. Compostable.,"Edenware 8oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Edenware Double Wall Takeaway Cup 8oz Compostable | Afida,Shop Edenware 8oz Double Wall Takeaway Cup - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
CC-PN-6,,Half Pint to Brim Cup,Cups & Lids,,,PLA,160.24,2100,,"The PLA Half Pint to Brim Cup is lined with PLA, a plant-based bioplastic derived from cornstarch. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars.",PLA Half Pint to Brim Cup.,"PLA Half Pint to Brim Cup - transparent design for showcasing drinks. Sturdy and crack-resistant. Designed for coffee shops, cafés, offices, events, and catering.",Half Pint to Brim Cup Pla | Afida,Shop PLA Half Pint to Brim Cup. Cases of 2100. Free UK delivery over £100. Order at Afida.,
CC-PN-285,,HALF PINT TUMBLER TO RIM,Cups & Lids,285ml,,rPET,35.19,1000,,"The 285ml rPET HALF PINT TUMBLER TO RIM is made from rPET (recycled PET plastic), giving post-consumer plastic a second life. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars. Fully recyclable through standard paper or plastic recycling streams.",285ml rPET HALF PINT TUMBLER TO RIM. Recyclable.,"285ml rPET HALF PINT TUMBLER TO RIM - transparent design for showcasing drinks. Sturdy and crack-resistant. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",HALF PINT TUMBLER TO RIM 285ml Recyclable | Afida,Shop 285ml rPET HALF PINT TUMBLER TO RIM - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
CC-CR-KR,,Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle,Cups & Lids,,,Kraft,67.42,250,,"The kraft Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle is constructed from kraft board, an unbleached paper with natural strength. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars.",kraft Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle.,"kraft Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle - transparent design for showcasing drinks. Sturdy and crack-resistant. Designed for coffee shops, cafés, offices, events, and catering.",Takeaway Pint Cup Carrier 4 Cup Inline Holder with | Afida,Shop kraft Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle. Cases of 250. Free UK delivery over £100. Order at Afida.,
CC-22-2,,Pepsi Max Cold Cups,Cups & Lids,22oz / 90mm,,,55.79,1000,,"The 22oz / 90mm Pepsi Max Cold Cups. Crystal-clear construction showcases the colour and layers of iced drinks, smoothies, juices, and cocktails. Sturdy walls resist cracking and condensation. Compatible with flat and dome lids for versatile serving. Designed for coffee shops, cafés, offices, events, and catering.",22oz / 90mm Pepsi Max Cold Cups.,"22oz / 90mm Pepsi Max Cold Cups - crystal-clear design showcases colourful drinks. Sturdy and crack-resistant. Designed for coffee shops, cafés, offices, events, and catering.",Pepsi Max Cold Cups 22oz / 90mm | Afida,Shop 22oz / 90mm Pepsi Max Cold Cups. Cases of 1000. Free UK delivery over £100. Order at Afida.,
CC-PN-568,,PINT TUMBLER TO RIM,Cups & Lids,568ml,,rPET,51.58,1000,,"The 568ml rPET PINT TUMBLER TO RIM is made from rPET (recycled PET plastic), giving post-consumer plastic a second life. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars. Fully recyclable through standard paper or plastic recycling streams.",568ml rPET PINT TUMBLER TO RIM. Recyclable.,"568ml rPET PINT TUMBLER TO RIM - transparent design for showcasing drinks. Sturdy and crack-resistant. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",PINT TUMBLER TO RIM 568ml Recyclable | Afida,Shop 568ml rPET PINT TUMBLER TO RIM - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
CUP-DW-12-2,Planetware,Double Wall Takeaway Cup,Cups & Lids,12oz,,,52.48,500,,"The Planetware 12oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Planetware 12oz Double Wall Takeaway Cup. Compostable and recyclable.,"Planetware 12oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Planetware Double Wall Takeaway Cup 12oz Compostable | Afida,Shop Planetware 12oz Double Wall Takeaway Cup - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
CUP-DW-6,Planetware,Double Wall Takeaway Cup,Cups & Lids,6oz,,,46.47,500,,"The Planetware 6oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Planetware 6oz Double Wall Takeaway Cup. Compostable and recyclable.,"Planetware 6oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Planetware Double Wall Takeaway Cup 6oz Compostable | Afida,Shop Planetware 6oz Double Wall Takeaway Cup - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
