keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url,cluster,bucket,target
burger packaging,300,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/kraft-burger-box/,burger-boxes,2,(new page) burger boxes
paper food bags,300,0,2,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/,paper-bags,1,/categories/bags-and-wraps/bags
12oz cup,300,0,2,cupsdirect.co.uk,12,https://cupsdirect.co.uk/products/12oz-custom-print-bespoke-paper-cups-single-wall,skip-generic-size,skip,
smoothie cups with lids,300,0,2,greenpak.supplies,2,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/,smoothie-cups,2,(new page) smoothie & milkshake cups
cups with lids,300,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/lids,coffee-cups,1,/categories/cups-and-accessories/hot-cups
microwavable container,300,2,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/food-packaging/microwavable-containers,microwavable,2,(new page) microwavable containers
ice cream pots,300,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
cardboard food boxes,300,1,1,enviropack.org.uk,13,https://www.enviropack.org.uk/hot-food-containers/paperboard-containers,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
restaurant name ideas,300,1,1,enviropack.org.uk,7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,skip-non-range,skip,
wooden fork,300,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/tableware/disposable-forks,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
catering boxes,300,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/catering-packaging,platters-catering,2,(new page) platter boxes & catering trays
8oz cup,300,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/8oz-white-paper-cups,skip-generic-size,skip,
soup cup,300,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/paper-soup-containers,soup-containers,1,/categories/food-containers/soup-containers
banquet roll,300,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/collections/50m-banquet-rolls,skip-non-range,skip,
red party cups,300,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,skip-plastic-partyware,skip,
hot chocolate cups,300,0,1,greenpak.supplies,12,https://greenpak.supplies/product/12oz-cadbury-in-cup-hot-chocolate/,skip-non-range,skip,
takeaway coffee cups with lids,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
takeaway food containers,250,0,3,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/product-category/hot-food-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
biodegradable cups,250,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
kraft boxes,250,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
takeaway coffee cup,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
pizza boxes for sale,250,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/pizza-boxes/,pizza-boxes,1,/categories/food-containers/pizza-boxes
take away coffee cups,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
brown paper bags with handles,250,0,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/twisted-handle-paper-bags/,paper-bags,1,/categories/bags-and-wraps/bags
disposable cups with lids,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/disposable-cups/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
custom greaseproof paper,250,2,1,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
paper cups with lids,250,0,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
grease paper,250,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,greaseproof,1,/categories/bags-and-wraps/greaseproof-and-wraps
biodegradable food packaging,250,1,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
drink carrier,250,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/product/2-cup-carrier/,cup-carriers,2,(new page) cup & drink carriers
takeaway containers with lids,250,0,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/product/900ml-fastpac-2-compartment-lid-microwavable-container-qty-300/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
food packaging designer,250,0,1,takeawaypackaging.co.uk,6,https://takeawaypackaging.co.uk/design-service/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
food packaging solutions,250,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
printed greaseproof paper,250,1,1,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
greaseproof paper bags,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/bags-greaseproof-foil,greaseproof,1,/categories/bags-and-wraps/greaseproof-and-wraps
reusable plastic glasses,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,skip-plastic-partyware,skip,
paper bowl,250,0,1,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/paper-foodservice-bowls,bowls,1,/categories/food-containers/bowls-and-lids
branded paper cups,250,4,1,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,custom-print,2,/categories/branded-products (expand + per-product landing pages)
boba straws,250,0,1,cupsdirect.co.uk,8,https://cupsdirect.co.uk/products/12mm-paper-boba-straws-white,smoothie-cups,2,(new page) smoothie & milkshake cups
milkshake cups with lids,250,0,2,greenpak.supplies,3,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/,smoothie-cups,2,(new page) smoothie & milkshake cups
bakery packaging,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/cake-boxes-deserts,cake-boxes,3,(new range) cake & cupcake boxes
food prep gloves,250,0,1,enviropack.org.uk,10,https://www.enviropack.org.uk/consumables,gloves-supplies,1,/categories/supplies-and-essentials/gloves-and-cleaning
catering containers,250,2,1,enviropack.org.uk,6,https://www.enviropack.org.uk/catering-packaging,platters-catering,2,(new page) platter boxes & catering trays
food packaging manufacturer,250,7,1,enviropack.org.uk,4,https://www.enviropack.org.uk/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
microwavable containers,250,2,1,enviropack.org.uk,12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,microwavable,2,(new page) microwavable containers
wholesale cutlery,250,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/catering-cutlery,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
ice cream box,250,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
eco-friendly packaging,250,9,1,enviropack.org.uk,10,https://www.enviropack.org.uk/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
biopak uk,250,8,1,enviropack.org.uk,8,https://www.enviropack.org.uk/,skip-non-range,skip,
disposable forks,250,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/cutlery,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
plastic party cups,250,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
white paper plates,250,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/7-dia-white-paper-plates,paper-plates,1,/categories/tableware/plates-and-bowls (split: plates)
paper table cloths,250,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/collections/paper-tablecovers,skip-non-range,skip,
bendy straws,250,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws,skip-non-range,skip,
champagne flutes plastic,250,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,skip-plastic-partyware,skip,
plastic fork,250,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks,skip-plastic-partyware,skip,
chinese takeaway box,250,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/noodle-boxes,noodle-boxes,2,(new page) noodle / chinese takeaway boxes (kraft takeaway boxes)
jager bomb glasses,250,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots,skip-plastic-partyware,skip,
disposable spoons,250,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
polythene gloves,250,0,1,greenpak.supplies,6,https://greenpak.supplies/product/medium-clear-polythene-gloves/,skip-non-range,skip,
baguette tray,250,0,1,greenpak.supplies,11,https://greenpak.supplies/product/compostable-black-baguette-tray/,food-trays,2,(new page) food trays (microflute + folded board)
coffee takeaway cup,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
custom burger boxes,200,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/kraft-burger-box/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
food containers takeaway,200,2,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/hot-food-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
take away box,200,2,2,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/food-packaging,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
paper takeaway bags,200,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/grab-bags/,paper-bags,1,/categories/bags-and-wraps/bags
sample packaging,200,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/free-packaging-samples/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
custom takeaway coffee cups,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
ice cream tubs with lids wholesale,200,0,1,takeawaypackaging.co.uk,13,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
clear plastic cups with lids,200,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/,skip-plastic-partyware,skip,
salad boxes,200,0,2,takeawaypackaging.co.uk,11,https://takeawaypackaging.co.uk/online-shop/cold-food-containers/salad-boxes/,salad-boxes,1,/categories/cold-food-and-salads/salad-boxes
deli pots,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cold-food-containers/biodegradable-deli-bowls-portion-pots-lids/,deli-pots,1,/categories/cold-food-and-salads/deli-containers
plastic coffee cups with lids,200,0,1,takeawaypackaging.co.uk,11,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,skip-plastic-partyware,skip,
9oz,200,0,2,greenpak.supplies,4,https://greenpak.supplies/product/9oz-clear-pet-smoothie-cup/,skip-generic-size,skip,
kraft food boxes,200,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
cardboard burger boxes,200,0,2,enviropack.org.uk,4,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,burger-boxes,2,(new page) burger boxes
personalised coffee cups,200,1,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
custom food packaging,200,2,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/branded-packaging/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
plant based packaging,200,7,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/a-guide-to-plant-based-packaging/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
personalised greaseproof paper,200,1,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
plastic wine glasses reusable,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,skip-plastic-partyware,skip,
12oz cups,200,0,2,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/12oz-white-paper-cups,skip-generic-size,skip,
disposable cup,200,1,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
drink cups,200,0,1,cupsdirect.co.uk,9,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
disposable tea cups,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
white paper cups,200,0,3,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/plain-white-paper-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
small foil trays,200,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
smoothie straws,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/smoothie-drinking-straws,smoothie-cups,2,(new page) smoothie & milkshake cups
food packaging wholesale,200,1,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/collections/food-packaging,eco-packaging-generic,1,homepage / /shop (site-level head terms)
red solo cups,200,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,skip-plastic-partyware,skip,
cake boxes wholesale,200,0,1,cupsdirect.co.uk,13,https://cupsdirect.co.uk/collections/cake-boxes-deserts,cake-boxes,3,(new range) cake & cupcake boxes
soup containers with lids,200,0,2,cupsdirect.co.uk,9,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series,soup-containers,1,/categories/food-containers/soup-containers
aluminium trays,200,0,1,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
slush straws,200,0,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/black-spoon-straws,smoothie-cups,2,(new page) smoothie & milkshake cups
jagerbomb glasses,200,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots,skip-plastic-partyware,skip,
disposable paper cups,200,4,2,cupsdirect.co.uk,8,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
soup containers,200,0,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series,soup-containers,1,/categories/food-containers/soup-containers
black coffee cup,200,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/products/black-ripple-weave-coffee-cup,coffee-cups,1,/categories/cups-and-accessories/hot-cups
kraft box,200,0,1,cupsdirect.co.uk,7,https://cupsdirect.co.uk/products/kraft-deli-food-box-range,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
12 inch pizza boxes,200,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/takeaway-pizza-boxes-12-kraft,pizza-boxes,1,/categories/food-containers/pizza-boxes
hot drink cups,200,0,3,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/insulated-paper-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
water cups,200,0,2,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/vending-water-cooler-cups,skip-non-range,skip,
microwave containers,200,2,1,enviropack.org.uk,12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,microwavable,2,(new page) microwavable containers
6oz cups,200,0,2,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/6oz-white-paper-cups-flat-white,skip-generic-size,skip,
wooden cutlery set,200,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/tableware/tableware-cutlery,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
kraft bowl,200,0,2,greenpak.supplies,4,https://greenpak.supplies/product/500ml-kraft-bowl/,bowls,1,/categories/food-containers/bowls-and-lids
cold cup,200,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups,cold-cups,1,/categories/cups-and-accessories/cold-cups-and-lids
sabert,200,1,1,enviropack.org.uk,8,https://www.enviropack.org.uk/hot-food-containers/bepulp-by-sabert,skip-non-range,skip,
eco friendly packaging materials,200,9,1,enviropack.org.uk,10,https://www.enviropack.org.uk/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
good restaurant names,200,2,1,enviropack.org.uk,10,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,skip-non-range,skip,
disposable trays,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/catering-packaging/food-trays,food-trays,2,(new page) food trays (microflute + folded board)
cardboard ice cream tubs,200,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
burger boxes wholesale,200,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,burger-boxes,2,(new page) burger boxes
catering cutlery,200,1,1,enviropack.org.uk,11,https://www.enviropack.org.uk/catering-packaging/catering-cutlery,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
microwavable,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,skip-generic-size,skip,
salad container,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/large-salad-container-with-window-kraft,salad-boxes,1,/categories/cold-food-and-salads/salad-boxes
dessert boxes,200,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/dessert-cookies,dessert-cups,2,(new page) dessert cups & pots
plastic lids,200,0,1,eventsupplies.co.uk,6,https://eventsupplies.co.uk/products/lids-for-dispolite-plastic-containers,skip-plastic-partyware,skip,
disposable pint glasses,200,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,skip-plastic-partyware,skip,
insulated cups for hot drinks,200,4,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/insulated-paper-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
12oz coffee cup,200,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/products/12oz-white-paper-cups,skip-generic-size,skip,
paper table covers,200,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/paper-tablecovers,skip-non-range,skip,
coca cola cup,200,0,1,eventsupplies.co.uk,6,https://eventsupplies.co.uk/collections/coke-paper-cups,skip-non-range,skip,
8 oz cup,200,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/products/8oz-white-paper-cups,skip-generic-size,skip,
plastic wine glasses for party,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-wineglasses,skip-plastic-partyware,skip,
orange napkins,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/orange-paper-napkins-33cm-2ply,napkins,1,/categories/tableware/napkins
plastic coupe glasses,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe,skip-plastic-partyware,skip,
plastic wine glasses uk,200,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/plastic-wineglasses,skip-plastic-partyware,skip,
plastic reusable cups,200,1,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/reusable-plastic-tumblers,skip-plastic-partyware,skip,
coffee cups disposable,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/paper-coffee-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
soup cups,200,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/collections/paper-soup-containers,soup-containers,1,/categories/food-containers/soup-containers
plastic party glasses,200,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/plastic-glasses,skip-plastic-partyware,skip,
tortilla wrap boxes,200,0,1,greenpak.supplies,2,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
tortilla wrap packaging,200,0,1,greenpak.supplies,13,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
wrap packaging,200,0,1,greenpak.supplies,4,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
black paper bags,150,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/product/320x160x390mm-black-paper-grab-bag-block-bottom-bag-qty-300/,paper-bags,1,/categories/bags-and-wraps/bags
coffee lids,150,0,2,takeawaypackaging.co.uk,6,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
take away containers with lids,150,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/900ml-fastpac-2-compartment-lid-microwavable-container-qty-300/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
paper coffee cups with lids,150,0,2,enviropack.org.uk,4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
take away food containers,150,2,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
paper boxes for food,150,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/food-carriers/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
recyclable cups for hot drinks,150,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-coffee-cups-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
recyclable food containers,150,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/biodegradable-eco-bowl-and-lids/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
takeaway burger boxes,150,0,1,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product/kraft-burger-box/,burger-boxes,2,(new page) burger boxes
eco-friendly food packaging,150,8,1,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/online-shop/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
salt and pepper sachets,150,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/online-shop/cup-accessories/condiments/,skip-non-range,skip,
oven bags,150,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/bags-pouches/oven-able-bags,skip-non-range,skip,
unique restaurant names ideas,150,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,skip-non-range,skip,
sushi tray,150,0,1,enviropack.org.uk,2,https://www.enviropack.org.uk/cold-food-containers/sushi-boxes,skip-non-range,skip,
coffee paper cups,150,1,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/paper-coffee-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
white plastic wine glasses,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/plastic-wineglasses,skip-plastic-partyware,skip,
12oz plastic cups,150,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
plastic drinking straws,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/drinking-straws,skip-plastic-partyware,skip,
plastic beer cups,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,skip-plastic-partyware,skip,
large plastic cups,150,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
dip pots,150,0,1,eventsupplies.co.uk,14,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,portion-sauce-pots,1,/categories/food-containers/portion-pots-and-lids (retarget: + sauce pots)
prep bowls,150,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/elite-3-prep-bowls,skip-non-range,skip,
paper carrier bags wholesale,150,2,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/paper-bags,paper-bags,1,/categories/bags-and-wraps/bags
compostable food containers,150,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
plastic pots with lids,150,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,skip-plastic-partyware,skip,
clear plastic straws,150,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/products/clear-plastic-drinking-straws,skip-plastic-partyware,skip,
black paper napkins,150,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/black-paper-napkins-33cm-2ply,napkins,1,/categories/tableware/napkins
fried chicken bucket,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/150oz-chicken-bucket/,chicken-boxes,3,(new range) chicken boxes & buckets
fish and chip boxes,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
burger trays,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/compostable-black-burger-tray/,burger-boxes,2,(new page) burger boxes
fish and chips box,150,0,1,greenpak.supplies,8,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
sandwich packaging box,150,0,1,greenpak.supplies,8,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
kraft bowls,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/500ml-kraft-bowl/,bowls,1,/categories/food-containers/bowls-and-lids
